,title,subtitle,price_unit,price,price_unit_2,price_2,type_size,bedrooms,suite,parking,description
376,"SCLRN 714 Bloco G, ASA NORTE, BRASILIA",,R$,1.000,m² R$,23,Aluguel Apartamento 42 m²,1 Quarto,,,"Apartamento vazado, com sala, 01 quarto, cozinha, banheiro social, piso cerâmica e pintura nova. Quarto com vista para w... 21/08/22"
377,"SQNW 311 Bloco E, NOROESTE, BRASILIA",,R$,1.800,m² R$,56,Aluguel Apartamento 32 m²,1 Quarto,1 Vaga,,"Atrium Noroeste, Apartamento de 1 Quarto Totalmente Residencial para Aluguel no Noroeste 32,25m² divididos em sala, cozi... 21/08/22"
378,"Rua 25, SUL, AGUAS CLARAS",", Le Ville Residence",R$,3.200,m² R$,41,Aluguel Apartamento 78 m²,2 Quartos,1 Suíte,1 Vaga,Ao lado da estação de metrô Àguas Claras. - Nascente. - Andar Alto. - Semi mobiliado. - 2 Quartos sendo 1 Suíte. (Pl... 21/08/22
379,"SQS 410 Bloco R, ASA SUL, BRASILIA",,R$,2.500,m² R$,32,Aluguel Apartamento 78 m²,2 Quartos,,,"Apartamento 2 quartos na SQS 410 ! - Apartamento com 78m²; com 2 quartos, 1 banheiro, cozinha com armários. - Os qu... 21/08/22"
380,"SCLRN 713 Bloco F, ASA NORTE, BRASILIA",,R$,800,m² R$,28,Aluguel Apartamento 28 m²,1 Quarto,,,Linda Kitnet Reformada ENDEREÇO: SCLRN 713 BLOCO F ENTR 38 AP. 102 DESCRIÇÃO DA KITNET /APARTAMENTO: - Área útil co... 21/08/22
381,"QN 120 Conjunto 2, SAMAMBAIA SUL, SAMAMBAIA",,R$,2.600,m² R$,26,Aluguel Apartamento 100 m²,2 Quartos,1 Suíte,1 Vaga,"A cobertura está localizado no bairro Samambaia Sul possui com 2 quartos sendo 1 suite , 1 banheiro, sala, cozinha amer... 21/08/22"
382,"Área Especial 4 Módulo G, GUARA II, GUARA",,R$,3.600,m² R$,57,Aluguel Apartamento 63 m²,3 Quartos,3 Suítes,1 Vaga,Apartamento de 03 Quartos no Residencial Olympique - Guara ESPECIFICAÇÕES DO APARTAMENTO: - 03 Quartos sendo 1 suíte... 21/08/22
383,"QS 7 Praça 200, AREAL, AGUAS CLARAS",,R$,650,m² R$,13,Aluguel Apartamento 50 m²,1 Quarto,,,"VALOR DO ALUGUEL BRUTO: R$ 765,05 DESCONTO PONTUALIDADE: R$ 115,05 VALOR DO ALUGUEL LIQUIDO: R$ 650,00 CONDOMÍNIO R$... 21/08/22"
384,"SQS 207, ASA SUL, BRASILIA",,R$,9.800,m² R$,60,Aluguel Apartamento 163 m²,3 Quartos,1 Suíte,1 Vaga,"Situado na belíssima quadra SQS 207, icónica e muito tranquila, este apartamento reformado e mobiliado, de 163 m2, é com... 21/08/22"
385,"SQNW 103, NOROESTE, BRASILIA",,R$,4.800,m² R$,58,Aluguel Apartamento 82 m²,2 Quartos,1 Suíte,2 Vagas,CONDOMÍNIO JARDIM DAS CEREJEIRAS PRÉDIO COM ALTÍSSIMA QUALIDADE EM ACABAMENTO PRIMEIRA LOCAÇÃO O proprietário ir... 21/08/22
386,"Rua 21, NORTE, AGUAS CLARAS",,R$,1.190,m² R$,35,Aluguel Apartamento 34 m²,1 Quarto,1 Vaga,,"Apartamento Mobiliado - Com varanda - Ed. Green Park Ótima localizaçao, próximo ao metrô e Parque de Aguas Claras. Cozin... 21/08/22"
387,"QI 4 Bloco A, GUARA I, GUARA",,R$,1.950,m² R$,23,Aluguel Apartamento 83 m²,3 Quartos,1 Suíte,,"AP13305 - Apartamento para alugar com 3 quartos, 83m² - Qi 04, Guara I, Df Para agendar visita, copie e cole o link aba... 21/08/22"
388,"SQS 413 Bloco O, ASA SUL, BRASILIA",,R$,1.500,m² R$,25,Aluguel Apartamento 60 m²,2 Quartos,,,"DALL'OCA IMÓVEIS ALUGA: Apartamento com vista livre, nascente, localizado próximo a estação do metrô e parada de ônibus... 21/08/22"
389,"SGCV, PARK SUL, BRASILIA",,R$,1.500,m² R$,55,Aluguel Kitnet 27 m²,1 Quarto,1 Vaga,,"Alugamos ótima KIT MOBILIADA, no SGCV Ed. Vista Park Sul, composta de: - Espaço da Copa com fogão de bancada, armários, ... 21/08/22"
390,"SHTN Trecho 1, ASA NORTE, BRASILIA",,R$,3.800,m² R$,102,Aluguel Apartamento 37 m²,1 Quarto,1 Vaga,,"Belo apartamento de 37m² para locaçao no Lake Side! venha morar em um dos condomínios mais conhecidos de Brasília, a uni... 21/08/22"
391,"QNM 7 Conjunto A, CEILANDIA SUL, CEILANDIA",,R$,1.350,m² R$,16,Aluguel Apartamento 80 m²,2 Quartos,1 Suíte,1 Vaga,"- 02 QUARTOS - SALA - COZINHA - BANHEIRO - AREA DE SERVICOS - GARAGEM   - OTIMA LOCALIZACAO, PROXIMA A PARADA DE... 21/08/22"
392,"Quadra 106, NORTE, AGUAS CLARAS",", Mirante Club Residence",R$,2.300,m² R$,38,Aluguel Apartamento 60 m²,2 Quartos,1 Suíte,1 Vaga,-APARTAMENTO COM VISTA PARA O PARQUE -CONDOMÍNIO DE ALTO PADRÃO -DENTRO DE QUADRA -FRENTE PARA O PARQUE DE ÁGUAS CLARAS ... 21/08/22
393,"QS 501 Conjunto 4, SAMAMBAIA SUL, SAMAMBAIA",,R$,600,m² R$,17,Aluguel Apartamento 35 m²,1 Quarto,,,"Apartamento com quarto, cozinha e sala disponível em Samambaia Sul, a um preço super em conta! Tem interesse? Entre em c... 21/08/22"
394,"SHTN, ASA NORTE, BRASILIA","LAKE SIDE: Setor de Hotéis e Turismo Norte Trecho 1, Lote 2",R$,4.200,m² R$,7.924,Aluguel Apartamento 0 m²,1 Quarto,1 Vaga,,"* LAKE SIDE » TUDO O QUE VOCÊ PRECISA EM UM SÓ LUGAR COM O CONCEITO LIVE, WORK & PLAY : @lakesidehotelresidence • Olha... 21/08/22"
395,"QI 23 Lote 13, GUARA II, GUARA",,R$,1.850,m² R$,35,Aluguel Apartamento 52 m²,2 Quartos,1 Vaga,,"QI 23 Lote 13 - Residencial Monalisa Localizado na QI 23 Guará II, o prédio bem cuidado, segurança com portaria 24hs, t... 21/08/22"
396,"QNJ 15, TAGUATINGA NORTE, TAGUATINGA",,R$,3.000,m² R$,12,Aluguel Apartamento 250 m²,4 Quartos,2 Suítes,,"Alugo um excelente Apto de 04 quartos, suíte, sala ampla/copa, área de serviço, dispensa de empregados, cozinha ampla, p... 21/08/22"
397,"QNM 20 Conjunto B, CEILANDIA NORTE, CEILANDIA",,R$,700,m² R$,11,Aluguel Apartamento 60 m²,2 Quartos,,,"Apartamento no 1° andar, de 02 quartos, sala, cozinha americana, banheiro social e área de serviço. Em ótima localizaç... 21/08/22"
398,"CSG 3, TAGUATINGA SUL, TAGUATINGA",,R$,2.100,m² R$,55,Aluguel Apartamento 38 m²,1 Quarto,1 Suíte,,"AP10406 - Apartamento para alugar com 1 quarto, 33m² - Csg 3 Lote 07 Bloco B - Residencial Tagua Life Center, Taguatinga... 21/08/22"
399,"QI 27 Lote 10, GUARA II, GUARA",,R$,2.520,m² R$,36,Aluguel Apartamento 70 m²,2 Quartos,1 Vaga,,"Ed. Jornalista! Apartamento de 2 quartos com armários, 01 reversível, sala, cozinha com armários, área de serviço e gar... 21/08/22"
400,"QI 11, GUARA I, GUARA",,R$,1.100,m² R$,18,Aluguel Apartamento 60 m²,2 Quartos,,,Ótimo apartamento no primeiro andar com 02 quartos 21/08/22
401,"Rua 37, NORTE, AGUAS CLARAS",", Dubai Design Residence",R$,1.250,m² R$,41,Aluguel Apartamento 30 m²,1 Quarto,,,Apartamento Mobiliado - Aluguel 1 Quarto - Armários Planejados - Lazer Completo - Excelente Localização - 3 minuto... 21/08/22
402,"SQN 107, ASA NORTE, BRASILIA",,R$,5.000,m² R$,42,Aluguel Apartamento 119 m²,3 Quartos,1 Suíte,1 Vaga,Apartamento com 119m² de área privativa: - 3 quartos sendo 1 suíte; - DCE - Sala ampla em L com varanda; - Rico em armár... 21/08/22
403,"EQNP 10/14 Bloco E, CEILANDIA SUL, CEILANDIA",,R$,800,m² R$,10,Aluguel Apartamento 80 m²,3 Quartos,,,"Apartamento no 2º andar, de 03 quartos, sala ampla, cozinha, banheiro social e área de serviço. Obs.: SEM GARAGEM E SE... 21/08/22"
404,"Rua 11, GUARA II, GUARA",,R$,600,m² R$,12,Aluguel Apartamento 50 m²,2 Quartos,,,"Venha conhecer!!! Sem garagem. Alugo apto no Guará 2 QE 40 Rua 11 Lote 13, ao lado do canteiros Mercado Super Canteiros... 21/08/22"
405,"SCLRN 714 Bloco H, ASA NORTE, BRASILIA",,R$,1.100,m² R$,36,Aluguel Apartamento 30 m²,1 Quarto,1 Suíte,,"ALUGUE SEM FIADOR! SALA, COPA COM ARMÁRIO, 01 QUARTO COM ARMÁRIO E COM SUITE, BOX EM VIDRO TEMPERADO, PISO PORCELANATO,... 21/08/22"
406,"SQS 411 Bloco D, ASA SUL, BRASILIA",,R$,2.000,m² R$,40,Aluguel Apartamento 50 m²,2 Quartos,,,"Excelente apartamento com aproximadamente 50m² em quadra com área verde, primeiro andar, vazado, sala ampla com boa ven... 21/08/22"
407,"Chacará 128, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",RESIDENCIAL WASHINGT,R$,1.200,m² R$,20,Aluguel Apartamento 60 m²,2 Quartos,,,Chácara 128 - 2 Quartos Apartamento com 2 quartos O imóvel dispõe de: - 2 Quartos; - Sala ampla; - Cozinha com armário... 21/08/22
408,"CLN 106 Bloco A, ASA NORTE, BRASILIA",", Dona Marta VI",R$,950,m² R$,41,Aluguel Kitnet 22 m²,1 Quarto,,,"Temos várias unidades disponíveis. 1º andar (sem ) varanda. Aluguéis entre R$ 950,00 até R$ 1.100,00 2º andar (com) vara... 21/08/22"
409,"QN 122 Conjunto 15, SAMAMBAIA SUL, SAMAMBAIA","Cobertura Plana - 134,55m², Praia Bela Residence",R$,2.700,m² R$,20,Aluguel Apartamento 134 m²,2 Quartos,2 Vagas,,Aluga-se: Cobertura plana com excelente acabamento. Localizado ao lado do metrô (Estação Furnas) e em cima do Samambai... 21/08/22
410,"SHCGN 709 Bloco E, ASA NORTE, BRASILIA",,R$,2.900,m² R$,44,Aluguel Apartamento 65 m²,2 Quartos,,,"Imóvel passando por reparos, Disponível a partir 28/08 Alugue sem Fiador, sem burocracia e sem taxa de adesão, p... 21/08/22"
411,"CA 02, LAGO NORTE, BRASILIA",,R$,1.200,m² R$,33,Aluguel Apartamento 36 m²,1 Quarto,1 Vaga,,"Excelente quitinete dividida, cozinha americana, banheiro, quarto, com armários planejados e uma vaga de garagem. - Com... 21/08/22"
412,"CCSW 1, SUDOESTE, BRASILIA",,R$,3.400,m² R$,130,Aluguel Kitnet 26 m²,1 Quarto,1 Suíte,1 Vaga,"Studio com Vista Livre - Enxoval Completo, Internet e Serv. Hotel - Portal Master/sudoeste (106) A TOP LINE PRIME, t... 21/08/22"
413,"Rua 24, GUARA II, GUARA",,R$,600,m² R$,15,Aluguel Kitnet 40 m²,1 Quarto,,,"Branco Imóveis - Aluga Kitinet QE 40, Guará II. Excelente oportunidade, o imóvel possui 60m², próximo ao comércio local... 21/08/22"
414,"Rua 9, NORTE, AGUAS CLARAS",,R$,3.500,m² R$,37,Aluguel Apartamento 93 m²,3 Quartos,1 Suíte,1 Vaga,"AP10569 - Apartamento para alugar com 3 quartos, 93m² - Rua 09 Norte, Lote 02 - Residencial Mont Belo Águas Claras, Bras... 21/08/22"
415,"SHCES Quadra 403 Bloco H, NOVO, CRUZEIRO",,R$,2.100,m² R$,33,Aluguel Apartamento 62 m²,3 Quartos,,,"PÚBLIO IMÓVEIS ALUGA APARTAMENTO DE 03 QUARTOS EM CRUZEIRO NOVO, COMPOSTO POR: - SALA, - 03 QUARTOS, SENDO 02 COM ARMÁ... 21/08/22"
416,"SQS 416 Bloco I, ASA SUL, BRASILIA",,R$,2.500,m² R$,33,Aluguel Apartamento 75 m²,2 Quartos,,,"SQS 416 Bloco I Apartamento 303 Aluga-se um excelente apartamento reformado de 75 m², vazado, virado para o nascente,... 21/08/22"
417,"CA 08, LAGO NORTE, BRASILIA",,R$,2.990,m² R$,42,Aluguel Apartamento 70 m²,1 Quarto,1 Suíte,1 Vaga,"Excelente oportunidade! Duplex no Ed. Premier CA 08, apartamento com vista livre, nascente, semi mobiliado. Piso inferi... 21/08/22"
418,"Quadra 3 Conjunto C, SOBRADINHO, SOBRADINHO",,R$,870,m² R$,14,Aluguel Kitnet 60 m²,1 Quarto,,,* ÓTIMA LOCALIZAÇÃO * KIT ESPAÇOSA COMPOSTA DE: SALA / COZINHA BANHEIRO SOCIAL QUARTO ÁREA DE SERVIÇO NÃO POSSUI VAGA DE... 21/08/22
419,"SQSW 100 Bloco F, SUDOESTE, BRASILIA",,R$,4.200,m² R$,43,Aluguel Apartamento 96 m²,3 Quartos,1 Suíte,1 Vaga,"Viviane Silva aluga com exclusividade! Lindo apartamento no sudoeste, localizado na SQSW 100 ao lado do Parque da cida... 21/08/22"
420,"Terceira Avenida Blocos 1420A/1550B, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,R$,850,m² R$,14,Aluguel Apartamento 60 m²,2 Quartos,,,EXCELENTE APARTAMENTO AREJADO E COM ILUMINAÇÃO NATURAL. COMPOSTO POR: 02 QUARTOS BANHEIRO COM BOX EM BLINDEX SALA COZI... 21/08/22
421,"QNN 11, CEILANDIA NORTE, CEILANDIA",,R$,1.000,m² R$,16,Aluguel Apartamento 60 m²,2 Quartos,1 Vaga,,JORGE DOS SANTOS IMOBILIARIAALUGA APARTAMENTO NA QNN 11 CONDOMINIO NOVO HORIZONTE COM: 02 QUARTOS SALA BANHEIRO SOCIAL C... 21/08/22
422,"Quadra 14 Conjunto A 1, SOBRADINHO, SOBRADINHO",,R$,800,m² R$,22,Aluguel Apartamento 35 m²,1 Quarto,,,"EXCELENTE APARTAMENTO TÉRREO, NA QUADRA 14 CONJUNTO A-1 BLOCO 3. PRÓXIMO DE ESCOLAS, COMÉRCIOS E PONTO DE ÔNIBUS. 21/08/22"
423,"Rua DAS PAINEIRAS, NORTE, AGUAS CLARAS","LT 6 APT 1211, One Mall Business Residence",R$,1.100,m² R$,36,Aluguel Kitnet 30 m²,1 Quarto,1 Vaga,,"KIT COM 1 BANHEIRO E VAGA DE GARAGEM. - PINTURA NOVA, PISO CERÂMICA. Valor do aluguel com desconto de pontualidade: R$... 21/08/22"
424,"Quadra 101, NORTE, AGUAS CLARAS",,R$,2.500,m² R$,30,Aluguel Apartamento 82 m²,2 Quartos,1 Suíte,2 Vagas,"Excelente apartamento na entrada de Águas Claras com 82m² de área privativa. Sala dividida em 02 ambientes, cozinha com ... 21/08/22"
425,"SQN 116 Bloco F, ASA NORTE, BRASILIA",,R$,3.600,m² R$,51,Aluguel Apartamento 70 m²,2 Quartos,,,"CBL IMÓVEIS ALUGA: Ótimo apartamento reformado na SQN 116 - Asa norte- com sala com ar condicionado, 02 quartos com arm... 21/08/22"
426,"Rua 4C Chacará 11, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",,R$,1.499,m² R$,23,Aluguel Apartamento 64 m²,3 Quartos,1 Suíte,,"Residencial Império. Ótimo apartamento na Vicente Pires, aproveite essa oportunidade! Apartamento semimobiliado, s... 21/08/22"
427,"SQSW 101 Bloco E, SUDOESTE, BRASILIA",,R$,3.900,m² R$,41,Aluguel Apartamento 95 m²,3 Quartos,1 Suíte,1 Vaga,"EDIFÍCIO PORTO AZUL APARTAMENTO 03 QUARTOS, SENDO 01 SUÍTE 01 VAGAS DE GARAGEM. ENDEREÇO: SQSW 101 Bloco E Setor Sudo... 21/08/22"
428,"STN, ASA NORTE, BRASILIA","LT K BLOCO 3 , ED MONTREAL III",R$,700,m² R$,23,Aluguel Kitnet 30 m²,1 Quarto,,,"UM QUARTO COM ARMARIOS, PERSIANAS, COZINHA COM ARMARIOS, BANHEIRO SOCIAL COM BOX , PISO EM CERAMICA!!! **ELETRODOMESTIC... 21/08/22"
429,"CNB 9, TAGUATINGA NORTE, TAGUATINGA",,R$,1.400,m² R$,23,Aluguel Apartamento 60 m²,2 Quartos,1 Vaga,,"APARTAMENTO NASCENTE, DE FRENTE,02 QUARTOS SEM ARMÁRIOS,SALA, COZINHA COM ARMÁRIOS PLANEJADOS, BANHEIRO SOCIAL COM ARMÁR... 21/08/22"
430,"SQSW 504 Bloco I, SUDOESTE, BRASILIA",,R$,3.200,m² R$,37,Aluguel Apartamento 85 m²,2 Quartos,1 Suíte,1 Vaga,"AP3095 - Apartamento para alugar com 2 quartos, 85m² - Sqsw 504 Bloco I, Porto Bello - Sudoeste, Df Para agendar visit... 21/08/22"
431,"SGAN 911 Módulo G, ASA NORTE, BRASILIA",,R$,1.000,m² R$,38,Aluguel Kitnet 26 m²,1 Quarto,1 Suíte,1 Vaga,"KN0511 - Kit para alugar com 1 quarto, 26m² - Sgan 911 Conjunto - Asa Norte, Brasília - DF Para agendar visita, copie e... 21/08/22"
432,"SCLRN 709 Bloco D, ASA NORTE, BRASILIA",,R$,2.200,m² R$,26,Aluguel Apartamento 84 m²,2 Quartos,,,"DOIS QUARTOS COM ARMARIOS, SALA, COZINHA COM ARMÁRIOS, BANHEIRO COM BOX, AREA DE SERVICO CONJUGADA, PISO CERAMICA, LAVAB... 21/08/22"
433,"QE 40 Área Especial 6A, GUARA II, GUARA",,R$,620,m² R$,20,Aluguel Kitnet 30 m²,1 Quarto,1 Vaga,,EXECUTIVA IMÓVEIS ALUGA! KITNET NA AREA ESPECIAL 6A (QE 40 AE6A LOTE 02 APTO 104) - COZINHA - SALA/QUARTO/VARANDA - BA... 21/08/22
434,"QE 40 Conjunto I, GUARA II, GUARA",,R$,800,m² R$,26,Aluguel Apartamento 30 m²,1 Quarto,,,"Realiza Imóveis aluga, apto composto de 01 QUARTO, SALA, COZINHA, BANHEIRO SOCIAL, ÁREA DE SERVIÇO. ALUGUEL BRUTO: R$ 1... 21/08/22"
435,"Rua 9, NORTE, AGUAS CLARAS",,R$,2.200,m² R$,36,Aluguel Apartamento 60 m²,2 Quartos,1 Suíte,1 Vaga,"IMÓVEL EM PROCESSO DE DESOCUPAÇÃO PREVISÃO PARA O INICIO DAS VISITAS EM 05/08/2022 Alugue sem Fiador, sem burocracia e... 21/08/22"
436,"SQN 105 Bloco H, ASA NORTE, BRASILIA",,R$,2.800,m² R$,35,Aluguel Apartamento 80 m²,2 Quartos,1 Suíte,,"SQN 105 Bloco H Apto 405 02 QTS, C/ ARMARIOS , SENDO UMA SUITE , AMPLA SALA ,COZINHA ,WC,PINTURA NOVA. DCE, ELEVADOR. ... 21/08/22"
437,"CCSW 1 Lote 1 Bloco 2, SUDOESTE, BRASILIA",", ED. PORTAL MASTER",R$,2.597,m² R$,99,Aluguel Apartamento 26 m²,1 Quarto,1 Vaga,,"Nova Kit Flat - Enxoval Completo, Serviços de Hotel e Garagem - Portal Master Sudoeste(208) SUPER KIT TOP LINE IMÓVE... 21/08/22"
438,"Conjunto Residencial 7 Condominio 1 Bloco B, PARQUE DAS CACHOEIRAS, VALPARAISO DE GOIAS",,R$,800,m² R$,16,Aluguel Apartamento 48 m²,2 Quartos,1 Vaga,,"Apartamento de 2 quartos, sala, banheiro, cozinha, área de serviço e uma vaga de garagem. Condomínio com lazer completo... 21/08/22"
439,"SQS 402 BLOCO M, ASA SUL, BRASILIA",2º Andar - Reformado,R$,3.800,m² R$,36,Aluguel Apartamento 104 m²,3 Quartos,1 Suíte,,"Apartamento reformado composto de sala de estar e jantar, 03 quartos, sendo uma suíte/closet com box em vidro 8mm e armá... 21/08/22"
440,"SHTN Trecho 2 Lote 3, ASA NORTE, BRASILIA",,R$,2.250,m² R$,75,Aluguel Apartamento 30 m²,1 Quarto,1 Suíte,2 Vagas,"Um condomínio maravilhoso a Beira Lago, com infraestrutura completa e segurança 24h Apartamento térreo, dividido, mob... 21/08/22"
441,"Rua 3, SUL, AGUAS CLARAS",,R$,1.800,m² R$,21,Aluguel Apartamento 82 m²,3 Quartos,1 Vaga,,"Residencial Águas Claras I - Apartamento 3 Quartos Excelente apartamento no Águas Claras I, composto por: - 3 Quartos ... 21/08/22"
442,"CRS 511 Bloco A, ASA SUL, BRASILIA",,R$,1.200,m² R$,24,Aluguel Apartamento 50 m²,1 Quarto,,,"COMERCIAL/RESIDENCIAL  KITINETE COM: - BANHEIRO - COZINHA/ÁREA DE SERVIÇOS.   VALOR BRUTO R$ 1.333,33 VALOR COM DE... 21/08/22"
443,"SQN 308 Bloco C, ASA NORTE, BRASILIA",,R$,4.150,m² R$,33,Aluguel Apartamento 125 m²,3 Quartos,1 Suíte,1 Vaga,"Excelente apartamento reformado com ótima localização (próx. Unb, Correios, Bancos, Ceub, Supermercado Pão de Açucar ao ... 21/08/22"
444,"Rua 4C Chacará 14, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",,R$,1.300,m² R$,16,Aluguel Apartamento 80 m²,2 Quartos,1 Vaga,,"AP6886 - Apartamento para alugar com 2 quartos, 80m² - Ca Samambaia Chácara 14, Ed. Avelar - Taguatinga Norte, Brasília... 21/08/22"
445,"QN 412 Conjunto F, SAMAMBAIA NORTE, SAMAMBAIA",,R$,1.100,m² R$,15,Aluguel Apartamento 70 m²,2 Quartos,,,QN 412 CONJUNTO F LOTE 02 AP 207 - 02 quartos; - Sala; - Cozinha com armários ; - WC Social; - Garagem coberta Excel... 21/08/22
446,"QE 32 Bloco A, GUARA II, GUARA",,R$,1.320,m² R$,18,Aluguel Kitnet 72 m²,1 Quarto,1 Suíte,,EXECUTIVA IMÓVEIS ALUGA! APARTAMENTO NO CONJUNTO M (QE 32 BLOCO A ) - 2 QUARTO SENDO 1 SUITE - SALA - COZINHA - AREA... 21/08/22
447,"QS 11 Conjunto A, AREAL, AGUAS CLARAS",,R$,1.300,m² R$,21,Aluguel Apartamento 60 m²,2 Quartos,1 Suíte,,"AP13599 - Apartamento para alugar com 2 quarts, 60m² - Qs 11 Conjunto A, Areal - Df Para agendar visita, copie e cole o... 21/08/22"
448,"Rua EUGENIO JARDIM, SETOR TRADICIONAL, PLANALTINA",,R$,900,m² R$,15,Aluguel Apartamento 60 m²,2 Quartos,,,"LINDO APARTAMENTO NO SETOR TRADICIONAL! PRÓXIMO DA RODOVIÁRIA, REZENDE, BRB CONVENIÊNCIA; PRÓXIMO DA ELETRO NUNES. 02 Q... 21/08/22"
449,"EPTG QE 4, QUADRAS ECONOMICAS LUCIO COSTA, GUARA",Lote 02 - Apartamento 0304,R$,1.550,m² R$,40,Aluguel Apartamento 38 m²,2 Quartos,,,Aluguel – Apartamento 02 quartos com lazer no Guará! Apartamento dois quartos e área de lazer! Disponível para alugu... 21/08/22
450,"SQN 410, ASA NORTE, BRASILIA",,R$,3.600,m² R$,43,Aluguel Apartamento 82 m²,3 Quartos,1 Suíte,,"ATENÇÃO: SQN 410 - Alugo ótimo apartamento três quartos sendo uma suíte armários 1º andar, ótima localização na qu... 21/08/22"
451,"SHCES Quadra 1409, NOVO, CRUZEIRO",,R$,2.300,m² R$,41,Aluguel Apartamento 56 m²,1 Quarto,,,"Apartamento com 1 quarto para alugar no SHCES Quadra 1409, Cruzeiro. DF. 4 coisas que mais amamos neste apartamento: F... 21/08/22"
452,"QI 25 Lote 10, GUARA II, GUARA",,R$,2.000,m² R$,30,Aluguel Apartamento 65 m²,3 Quartos,1 Vaga,,"BRASÍLIA IMÓVEIS ALUGA: Apartamento no Residencial Park no Guará II com aproximadamente 65m², três quartos e uma vaga d... 21/08/22"
453,"QC 5, JARDINS MANGUEIRAL, BRASILIA",,R$,1.800,m² R$,37,Aluguel Apartamento 48 m²,2 Quartos,1 Vaga,,"Este apartamento está em ótima quadra, com salão de festa, sendo finalizado, playground, quadra de esportes, próxima da ... 21/08/22"
454,"SQSW 104 Bloco F, SUDOESTE, BRASILIA",,R$,3.800,m² R$,42,Aluguel Apartamento 90 m²,3 Quartos,1 Suíte,1 Vaga,AMPLO APARTAMENTO DE 03 QUARTOS NA SQSW 104 BLOCO F - SUDOESTE *Amplo Apartamento na SQSW 104 Bloco F - Edifício com Co... 21/08/22
455,"Área Especial 02 Módulo A, GUARA II, GUARA",,R$,2.400,m² R$,41,Aluguel Apartamento 58 m²,2 Quartos,1 Suíte,1 Vaga,ED DOLCE VITTA LAZER COMPLETO COM ARMARIOS E LINDA VISTA NASCENTE Apartamento com pintura nova além de armários plane... 21/08/22
456,"SQSW 302 Bloco J, SUDOESTE, BRASILIA",Edifício Maison Debret,R$,5.900,m² R$,42,Aluguel Apartamento 140 m²,4 Quartos,2 Suítes,2 Vagas,"Edifício Maison Debret. Excelente localização, apartamento meio de quadra, próximo a comercio local e ao Parque do Bosq... 21/08/22"
457,"SGAN 911, ASA NORTE, BRASILIA",,R$,1.200,m² R$,48,Aluguel Apartamento 25 m²,1 Quarto,1 Vaga,,"SGAN 911 Bloco A, Asa Norte - Brasília - DF Alugue este imóvel com seu cartão de crédito pela CredPago Coemi aluga apa... 21/08/22"
458,"QS 7 Rua 820, AREAL, AGUAS CLARAS",,R$,1.100,m² R$,33,Aluguel Apartamento 33 m²,1 Quarto,1 Suíte,1 Vaga,"AP12781 - Apartamento para alugar com 1 quarto, 33m² - Qs 07 Rua 820, Portal do Sul - Águas Claras, Areal, Df. Para age... 21/08/22"
459,"SCLRN 716, ASA NORTE, BRASILIA",,R$,800,m² R$,26,Aluguel Kitnet 30 m²,1 Quarto,,,"SCLRN 716 - Asa Norte/DF Alugue este imóvel com seu cartão de crédito pela CredPago Kitnet composta de sala, copa e qu... 21/08/22"
460,"CA 05, LAGO NORTE, BRASILIA",,R$,900,m² R$,33,Aluguel Apartamento 27 m²,1 Quarto,,,"Kitinete com armários, sala, quarto e banheiro com Box blindex. 27 metros. Prédio com elevador e portaria 24 horas. Pró... 21/08/22"
461,"SQNW 307 Bloco C, NOROESTE, BRASILIA",,R$,2.000,m² R$,58,Aluguel Apartamento 34 m²,1 Quarto,1 Vaga,,"Valor Bruto do Aluguel R$ 2.200,00 Desconto de Pontualidade R$ 200,00 Valor Líquido do Aluguel R$ 2.000,00 Compost... 21/08/22"
462,"SGAN 914, ASA NORTE, BRASILIA",SGAN 914,R$,1.000,m² R$,26,Aluguel Kitnet 38 m²,1 Quarto,1 Suíte,,"Excelente kit com 01 wc com box, persianas, elevador, 01 vaga de garagem n° 10, e área privativa de 38,57m². Va... 21/08/22"
463,"QNH Área Especial 3, TAGUATINGA NORTE, TAGUATINGA",,R$,1.150,m² R$,23,Aluguel Apartamento 50 m²,2 Quartos,1 Vaga,,"A J. Fleury Aluga apartamento de 02 quartos, com 50m² priv. Descrição: - 02 Quartos; - Sala conjugada com cozinha, arm... 21/08/22"
464,"Avenida Pau Brasil, NORTE, AGUAS CLARAS",,R$,2.400,m² R$,30,Aluguel Apartamento 80 m²,2 Quartos,1 Suíte,1 Vaga,Imovel composto por: Sala com varanda; Hall; 02 quartos com armários (01 suíte); Cozinha com armários; Area de serviço; ... 21/08/22
465,"Rua 14, NORTE, AGUAS CLARAS","Lote 1 BL A , Supremo",R$,5.500,m² R$,34,Aluguel Apartamento 160 m²,4 Quartos,4 Suítes,3 Vagas,"Condomínio Supremo Residência Décimo primeiro andar Apartamento de quatro quartos, sendo duas suítes e duas semi suítes,... 21/08/22"
466,"Rua 18, NORTE, AGUAS CLARAS",RESIDENCIAL WAVE,R$,1.650,m² R$,43,Aluguel Apartamento 38 m²,1 Quarto,1 Suíte,1 Vaga,Residencial Wave- 1 quarto O imóvel dispõe de: - Sala com painel pra Tv; - Qarto com armário; - Banheiro social com box ... 21/08/22
